epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.047836,0.077675,0.236295,0.133977,0.966674,0.134598,0.860485,0.205139,0.00010000
2,0.030053,0.058963,0.225590,0.127135,0.971339,0.127614,0.851101,0.193768,0.00009990
3,0.025690,0.050737,0.259283,0.148952,0.980021,0.149406,0.874979,0.229425,0.00009961
4,0.021120,0.044497,0.254893,0.146062,0.973137,0.146653,0.872971,0.224811,0.00009911
5,0.020371,0.039292,0.369377,0.226525,0.969305,0.228162,0.926102,0.345727,0.00009843
6,0.019346,0.041644,0.319251,0.189946,0.981605,0.190625,0.906532,0.292807,0.00009755
7,0.020432,0.035631,0.340940,0.205502,0.970570,0.206790,0.916219,0.315751,0.00009649
8,0.017904,0.032783,0.404031,0.253157,0.950436,0.256544,0.937396,0.382310,0.00009524
9,0.017071,0.030245,0.423199,0.268391,0.961334,0.271320,0.941491,0.402386,0.00009382
10,0.016500,0.032922,0.398736,0.249013,0.962409,0.251459,0.935195,0.376667,0.00009222
11,0.014498,0.032357,0.376820,0.232149,0.974748,0.233554,0.928015,0.353532,0.00009045
12,0.017701,0.030881,0.393952,0.245293,0.958015,0.247959,0.934188,0.371663,0.00008853
13,0.014192,0.028234,0.480188,0.315952,0.940186,0.322434,0.954552,0.462309,0.00008645
14,0.014867,0.028201,0.447009,0.287838,0.953803,0.291907,0.947310,0.427433,0.00008423
15,0.012955,0.026409,0.433352,0.276611,0.958633,0.279953,0.944025,0.413067,0.00008187
16,0.012670,0.027370,0.406223,0.254881,0.963688,0.257352,0.937098,0.384532,0.00007939
17,0.012756,0.027330,0.402515,0.251968,0.971672,0.253832,0.935593,0.380584,0.00007679
18,0.011751,0.025254,0.489425,0.323999,0.952979,0.329262,0.955606,0.471898,0.00007409
19,0.011450,0.030929,0.461605,0.300057,0.938490,0.306076,0.951120,0.442844,0.00007129
20,0.012477,0.027716,0.425798,0.270485,0.968671,0.272872,0.941668,0.405070,0.00006841
21,0.011266,0.028353,0.479604,0.315447,0.952006,0.320544,0.953872,0.461618,0.00006545
22,0.013274,0.024254,0.474449,0.311002,0.957513,0.315354,0.952637,0.456181,0.00006243
23,0.010816,0.027215,0.451318,0.291421,0.969639,0.294104,0.947360,0.431852,0.00005937
24,0.010573,0.023940,0.487833,0.322605,0.963218,0.326629,0.954842,0.470164,0.00005627
25,0.009887,0.024464,0.463746,0.301868,0.964885,0.305221,0.950176,0.444916,0.00005314
26,0.009734,0.024141,0.499855,0.333204,0.957624,0.338191,0.957212,0.482786,0.00005000
27,0.009497,0.028141,0.491950,0.326216,0.948865,0.332054,0.956242,0.474570,0.00004686
28,0.011381,0.025160,0.485409,0.320489,0.962226,0.324572,0.954449,0.467633,0.00004373
29,0.009176,0.024916,0.469542,0.306798,0.969917,0.309746,0.951069,0.450959,0.00004063
30,0.008775,0.024455,0.523360,0.354426,0.947435,0.361536,0.961469,0.507440,0.00003757
31,0.008770,0.024206,0.483416,0.318753,0.966992,0.322260,0.953856,0.465514,0.00003455
32,0.008768,0.024461,0.507413,0.339956,0.953615,0.345672,0.958661,0.490722,0.00003159
33,0.008300,0.023995,0.527928,0.358629,0.947799,0.365855,0.962154,0.512212,0.00002871
34,0.008135,0.021397,0.544282,0.373892,0.952503,0.380995,0.964387,0.529267,0.00002591
35,0.008050,0.021944,0.537745,0.367751,0.948550,0.375236,0.963589,0.522465,0.00002321
36,0.007705,0.021304,0.554237,0.383352,0.943358,0.392384,0.966119,0.539721,0.00002061
37,0.008096,0.021649,0.543766,0.373406,0.950331,0.380838,0.964394,0.528743,0.00001813
38,0.007557,0.021316,0.540135,0.369990,0.951236,0.377143,0.963835,0.524945,0.00001577
39,0.007492,0.021528,0.551229,0.380480,0.950280,0.388209,0.965453,0.536536,0.00001355
40,0.007489,0.021534,0.585989,0.414416,0.927096,0.428376,0.970751,0.572946,0.00001147
41,0.007259,0.021794,0.548098,0.377503,0.949849,0.385181,0.965029,0.533269,0.00000955
42,0.007461,0.022026,0.552019,0.381234,0.946727,0.389591,0.965692,0.537384,0.00000778
43,0.007187,0.021279,0.576527,0.405014,0.939915,0.415779,0.969171,0.562997,0.00000618
44,0.007189,0.021730,0.568673,0.397305,0.940159,0.407613,0.968157,0.554806,0.00000476
45,0.006995,0.021853,0.561391,0.390232,0.943140,0.399634,0.967095,0.547189,0.00000351
46,0.007064,0.021341,0.578048,0.406517,0.935742,0.418191,0.969498,0.564611,0.00000245
47,0.007146,0.021127,0.588305,0.416736,0.931546,0.429902,0.970890,0.575329,0.00000157
48,0.007903,0.021888,0.562961,0.391751,0.943385,0.401183,0.967296,0.548825,0.00000089
49,0.006975,0.021667,0.551159,0.380414,0.947814,0.388552,0.965533,0.536479,0.00000039
50,0.006847,0.021263,0.557092,0.386090,0.946503,0.394703,0.966397,0.542681,0.00000010
