epoch,train_loss,val_loss,F1,IoU,Precision,Recall,OA,Kappa,lr
1,0.085180,0.150462,0.055866,0.028736,0.733801,0.029038,0.446222,0.013490,0.00010000
2,0.063914,0.098827,0.237076,0.134479,0.905594,0.136391,0.869864,0.206272,0.00009755
3,0.032386,0.080200,0.285511,0.166528,0.973722,0.167280,0.891188,0.257204,0.00009045
4,0.036233,0.064140,0.331005,0.198326,0.946358,0.200581,0.914589,0.305413,0.00007939
5,0.032256,0.058182,0.381113,0.235417,0.962221,0.237613,0.930225,0.358127,0.00006545
6,0.034005,0.049027,0.418461,0.264591,0.961527,0.267422,0.940330,0.397407,0.00005000
7,0.030558,0.045100,0.519738,0.351113,0.920967,0.362021,0.961998,0.503834,0.00003455
8,0.022834,0.046029,0.476617,0.312868,0.932063,0.320169,0.954295,0.458623,0.00002061
9,0.022284,0.044664,0.424194,0.269192,0.965477,0.271808,0.941477,0.403405,0.00000955
10,0.026771,0.044483,0.456357,0.295636,0.955777,0.299737,0.949156,0.437226,0.00000245
